Species,decimalLongitude,decimalLatitude
Vitellaria paradoxa C.F.Gaertn.,3.300877,10.388323
Vitellaria paradoxa C.F.Gaertn.,3.269218,10.361436
Vitellaria paradoxa C.F.Gaertn.,3.279509,10.387972
Vitellaria paradoxa C.F.Gaertn.,3.396213,10.270962
Vitellaria paradoxa C.F.Gaertn.,3.40021,10.269058
Vitellaria paradoxa C.F.Gaertn.,3.09319,10.0851
Vitellaria paradoxa C.F.Gaertn.,3.009476,11.048662
Vitellaria paradoxa C.F.Gaertn.,3.006949,11.047748
Vitellaria paradoxa C.F.Gaertn.,3.008516,11.084611
Vitellaria paradoxa C.F.Gaertn.,3.00759,11.050082
Vitellaria paradoxa C.F.Gaertn.,3.010438,11.083327
Vitellaria paradoxa C.F.Gaertn.,3.007609,11.083137
Vitellaria paradoxa C.F.Gaertn.,3.010447,11.082703
Vitellaria paradoxa C.F.Gaertn.,3.009248,11.081428
Vitellaria paradoxa C.F.Gaertn.,3.010438,11.083327
Vitellaria paradoxa C.F.Gaertn.,3.007609,11.083137
Vitellaria paradoxa C.F.Gaertn.,3.010447,11.082703
Vitellaria paradoxa C.F.Gaertn.,3.009248,11.081428
Vitellaria paradoxa C.F.Gaertn.,3.078793,11.12528
